sample_id,min_f0,mean_f0,max_f0,f0_range,hnr,mean_f1,mean_f2,rms_mean,rms_std,rms_min,rms_max,rms_dynamic_range,odd_ratio_1,even_ratio_1,odd_ratio_2,even_ratio_2,min_f0_normalized,mean_f0_normalized,max_f0_normalized,f0_range_normalized,hnr_normalized,mean_f1_normalized,mean_f2_normalized,rms_mean_normalized,rms_std_normalized,rms_min_normalized,rms_max_normalized,rms_dynamic_range_normalized,odd_ratio_1_normalized,even_ratio_1_normalized,odd_ratio_2_normalized,even_ratio_2_normalized,jvs_id,Male_or_Female,filepath
1,70.04191826204200,163.8659792997260,262.0529760273350,192.01105776529300,15.451389898401500,684.3644201819000,1680.511986310790,0.04084962606430050,0.0350387841463089,0.01001740712672470,0.1160748302936550,21.279654653689900,65.36850540928550,34.63149459071450,66.8944918982929,33.10550810170710,0.2151839627580430,0.9318442144413990,1.1205297602733500,0.9872037848254180,1.2541667878081800,1.647276086493860,1.5538446817249200,0.4870993589100090,0.8346261382102970,0.33449380844831500,0.44049886862436900,1.1279654653689900,1.970464451304660,1.0295355486953400,2.0171783234171300,0.9828216765828710,jvs001,M,./dataset/jvs_ver1/jvs001/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
2,74.01550100120190,242.24031804544000,347.29084227483900,273.2753412736370,19.408522039139600,684.1131219341890,1759.153519661530,0.03516735881567000,0.021251164376735700,0.01048443466424940,0.07369031012058260,16.93730733146950,83.59718421232880,16.40281578767120,77.03601774851890,22.96398225148120,0.30033216431147000,1.8026702005048900,1.9729084227483900,1.7736323349061600,1.7290226446967500,1.6461990940036700,1.6926238582262200,0.3973793497211060,0.3750388125578560,0.365628977616628,0.15793540080388400,0.6937307331469470,2.528485230989660,0.4715147690103440,2.32763319638323,0.6723668036167700,jvs002,F,./dataset/jvs_ver1/jvs002/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
3,75.15842675200550,157.03432900129400,229.8097963834010,154.65136963139600,17.43514952842840,708.1174815660580,1813.1265936715700,0.0242327693849802,0.018736090511083600,0.010701481252908700,0.05634218454360960,14.427795735363700,71.34463647720810,28.655363522791900,66.98676242191680,33.01323757808320,0.3248234304001170,0.8559369889032700,0.7980979638340130,0.6256584157877020,1.4922179434114100,1.749074920997390,1.7878704594204100,0.22472793765758200,0.29120301703612000,0.38009875019391400,0.042281230290730800,0.4427795735363670,2.153407239098210,0.8465927609017920,2.020002931283170,0.9799970687168340,jvs003,M,./dataset/jvs_ver1/jvs003/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
4,80.80014503603200,282.69730201111500,381.95582971005300,301.15568467402100,17.66962301617730,755.4008618540700,1776.1301322951400,0.04789549857378010,0.035844720900058700,0.01030206959694620,0.13920481503009800,22.6145955618623,66.96550430075360,33.03449569924640,75.19819901120590,24.801800988794100,0.4457173936292580,2.252192244567950,2.3195582971005300,2.043442109748590,1.5203547619412700,1.9517179793745900,1.7225825864031800,0.5983499774807380,0.8614906966686250,0.3534713064630830,0.5946987668673200,1.2614595561862300,2.019352172472050,0.9806478275279520,2.271373439118550,0.7286265608814530,jvs004,F,./dataset/jvs_ver1/jvs004/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
5,68.72954416875090,148.21429425952800,236.33740475915600,167.60786059040500,14.704228120037500,672.8378471918390,1689.1893483091600,0.032939307391643500,0.026961056515574500,0.010933943092823000,0.10535876452922800,19.677877201787300,55.737357030619300,44.262642969380700,41.87351558041280,58.12648441958720,0.1870616607589490,0.7579366028836490,0.8633740475915590,0.751043812165209,1.1645073744045000,1.5978764879650200,1.5691576734867500,0.36219959039437100,0.5653685505191480,0.39559620618820200,0.3690584301948550,0.9677877201787260,1.6756333784883500,1.3243666215116500,1.2512300687881500,1.7487699312118500,jvs005,M,./dataset/jvs_ver1/jvs005/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
6,63.527652654254100,99.7135739349112,132.8922359581930,69.36458330393920,14.745457669789400,665.007597412085,1708.1975574548600,0.03233205899596210,0.027093838900327700,0.010095625184476400,0.0961216613650322,19.573761003640200,71.10879080558770,28.891209194412300,73.763890999963,26.236109000037000,0.07559255687687320,0.21903971038790200,0.0,0.0,1.169454920374730,1.5643182746232200,1.6027015719791700,0.3526114578309810,0.5697946300109230,0.33970834563175800,0.3074777424335480,0.9573761003640250,2.146187473640440,0.8538125263595590,2.227466051019280,0.7725339489807250,jvs006,M,./dataset/jvs_ver1/jvs006/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
7,94.42022056972820,223.74616908519600,324.20978376824400,229.7895631985160,19.13558925735370,714.2441242402140,1834.567288425060,0.035016365349292800,0.02829042635858060,0.010239792987704300,0.0954093337059021,19.385993722315700,81.9018453590278,18.098154640972200,88.15123070520830,11.848769294791700,0.7375761550656050,1.5971796565021800,1.7420978376824400,1.3528022245017700,1.6962707108824400,1.7753319610294900,1.8257069795736300,0.39499524235725400,0.6096808786193530,0.3493195325136180,0.3027288913726810,0.9385993722315740,2.476587102827380,0.5234128971726180,2.6678948175063800,0.3321051824936230,jvs007,F,./dataset/jvs_ver1/jvs007/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
8,68.76625235591240,232.6674410347790,337.89906216318400,269.13280980727200,18.940644657141500,662.2809051532100,1773.9694162716400,0.042166028171777700,0.025521455332636800,0.010463787242770200,0.08349289745092390,18.039212638751200,84.27169576939490,15.728304230605100,90.9785232810588,9.0214767189412,0.18784826476955200,1.6963049003864400,1.8789906216318400,1.733543320715530,1.6728773588569800,1.5526324506566100,1.7187695581264300,0.5078846553438590,0.5173818444212280,0.3642524828513460,0.22328598300615900,0.8039212638751230,2.5491335439610700,0.45086645603893300,2.754444590236490,0.2455554097635060,jvs008,F,./dataset/jvs_ver1/jvs008/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
9,66.47974106923880,117.95360456830400,171.45036187027700,104.97062080103800,13.373378670860300,744.4727646648900,1877.2681150326500,0.03571053221821790,0.03017040528357030,0.012044881470501400,0.09636705368757250,18.062521010315700,52.38746469590520,47.61253530409480,41.842238693816600,58.157761306183400,0.138851594340832,0.4217067174255990,0.21450361870276700,0.14487697549391500,1.00480544050324,1.9048832771352400,1.9010613794693700,0.40595577186659800,0.6723468427856760,0.4696587647000950,0.30911369125048300,0.8062521010315660,1.5730856539562800,1.4269143460437200,1.2502726130760200,1.7497273869239800,jvs009,M,./dataset/jvs_ver1/jvs009/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
10,76.06210236250930,303.2847602905070,452.32011236483300,376.25801000232400,19.499707501059300,778.606604798321,1872.6415339393900,0.03474909067153930,0.02548772282898430,0.010493973270058600,0.09393354505300520,19.037615185655300,89.24558871352320,10.75441128647680,88.37338271261050,11.626617287389500,0.34418790776805500,2.480941781005630,3.0,2.770238806474100,1.7399649001271200,2.0511711634213800,1.8928968245989200,0.3907751158664100,0.5162574276328090,0.36626488467057500,0.29289030035336800,0.9037615185655310,2.7013955728629500,0.2986044271370460,2.6746953891615500,0.32530461083845400,jvs010,F,./dataset/jvs_ver1/jvs010/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
